Freq (Hz)	pe/uhp_Real	pe/uhp_Imag
5.0000000000000000	3.3177097926900236	-1.2270020476688874
6.0000000000000000	1.2232778540595133	0.0040767929889935
7.0000000000000000	5.5230276060812100	1.7969458916503969
8.0000000000000000	2.5569406510731096	0.0232333578850501
9.0000000000000000	1.3687960165262385	0.3399786587851100
10.0000000000000000	1.6378014004433099	0.2063218373567721
11.0000000000000000	-0.1477979415360057	0.1226165490372779
12.0000000000000000	-0.2373181097140040	-0.0108499371579099
13.0000000000000000	0.1516995352359579	-0.0750913884420585
14.0000000000000000	0.1096821502875831	-0.0258553461490967
15.0000000000000000	0.0692169136573819	-0.0352241141489913
16.0000000000000000	0.0773375541026832	-0.0854217762681766
17.0000000000000000	0.0555902780793433	-0.0629107715243715
18.0000000000000000	0.0388194071647768	-0.0067962940185633
19.0000000000000000	0.0377673806313845	-0.0126392767919227
20.0000000000000000	0.0471325792196015	-0.0210538822394114
21.0000000000000000	0.0322687243517076	-0.0276744837125505
22.0000000000000000	0.0385558005211769	-0.0233416259702284
23.0000000000000000	0.0399478918523140	-0.0275008033171817
24.0000000000000000	0.0354411889851920	-0.0304053818387571
25.0000000000000000	0.0310171448989297	-0.0408656467196684
26.0000000000000000	0.0345389800824134	-0.0466943925071045
27.0000000000000000	0.0341941357262882	-0.0507474882422700
28.0000000000000000	0.0298566764636689	-0.0569418681092380
29.0000000000000000	0.0277938006627094	-0.0601043831299905
30.0000000000000000	0.0202113575135323	-0.0677568790122523
31.0000000000000000	0.0279870134310824	-0.0737595262715244
32.0000000000000000	0.0223454066607546	-0.0802369259737043
33.0000000000000000	0.0124779721586755	-0.0868326129231048
34.0000000000000000	-0.0082006919178597	-0.0944641790536822
35.0000000000000000	-0.0810221019005655	-0.2191705608314785
36.0000000000000000	-0.0914247962918222	-0.1652360667430479
37.0000000000000000	-0.0369788013690692	-0.1128310635193272
38.0000000000000000	-0.0262066387595660	-0.0917152328094333
39.0000000000000000	-0.0322963723151184	-0.1038746900698841
40.0000000000000000	-0.0378583671546465	-0.0862824334383578
41.0000000000000000	-0.0644692122465415	-0.0962236686053088
42.0000000000000000	-0.0440851296780286	-0.0910635057733981
43.0000000000000000	-0.0461151597534193	-0.0532592971265703
44.0000000000000000	-0.0518659861470767	-0.0467652594423829
45.0000000000000000	-0.0483844979885101	-0.0541561672384233
46.0000000000000000	-0.0436511298080398	-0.0427622903959330
47.0000000000000000	-0.0484838914587274	-0.0622543661621385
48.0000000000000000	-0.1458332141826755	-0.0989689001914844
49.0000000000000000	-0.1629572765987218	-0.0470048892478826
50.0000000000000000	-0.0577912755039922	-0.0398749154295912
51.0000000000000000	-0.0175031281413204	-0.0367451202219929
52.0000000000000000	-0.0586738133187342	-0.0583368759622564
53.0000000000000000	-0.1089430069253708	-0.0009161481329685
54.0000000000000000	-0.0131732357425709	-0.0253276170018423
55.0000000000000000	0.0015837231263473	-0.0278462630371941
56.0000000000000000	0.0124559933695454	-0.0217970770024217
57.0000000000000000	0.0143081523478944	-0.0188614514134860
58.0000000000000000	0.0200893155420208	-0.0172660604442848
59.0000000000000000	0.0248004585575968	-0.0179074786055367
60.0000000000000000	0.0302823492747227	-0.0245012826411381
61.0000000000000000	0.0340895422892256	-0.0266228825639019
62.0000000000000000	0.0414639173088999	-0.0298287326361258
63.0000000000000000	0.0456425124503625	-0.0340444394497163
64.0000000000000000	0.0475956887796820	-0.0405736158273080
65.0000000000000000	0.0513670418405211	-0.0449789046207535
66.0000000000000000	0.0604721931955943	-0.0479359263937044
67.0000000000000000	0.0646918238273058	-0.0569042451441284
68.0000000000000000	0.0677023698616037	-0.0604806420364865
69.0000000000000000	0.0716272405557070	-0.0717673586989373
70.0000000000000000	0.0766901990317922	-0.0841020394168509
71.0000000000000000	0.0777557204705759	-0.0955147642647303
72.0000000000000000	0.0775292326724792	-0.1058075628838172
73.0000000000000000	0.0741182652908127	-0.1163562701852959
74.0000000000000000	0.0698252322532209	-0.1276332518335861
75.0000000000000000	0.0695013925693215	-0.1354526779790310
76.0000000000000000	0.0655691291591560	-0.1443644968828907
77.0000000000000000	0.0606433281872694	-0.1544782433849797
77.9999999999999999	0.0584217349818607	-0.1637683257176023
78.9999999999999999	0.0599438230987254	-0.1738807201996908
79.9999999999999999	0.0520461950627228	-0.1894514162878296
80.9999999999999999	0.0397782045193291	-0.1986270094322624
81.9999999999999999	0.0279800681724987	-0.2097689114066244
82.9999999999999999	0.0185383642369484	-0.2177790250218521
83.9999999999999999	0.0048951299505613	-0.2261371185435138
84.9999999999999999	-0.0099503878216967	-0.2301988562358881
85.9999999999999999	-0.0202904396666401	-0.2340757879829607
86.9999999999999999	-0.0323205110767836	-0.2346671686755231
87.9999999999999999	-0.0425244542827373	-0.2382172162547038
88.9999999999999999	-0.0532401458510753	-0.2443664291394028
89.9999999999999999	-0.0671651936407057	-0.2433724697167123
90.9999999999999999	-0.0798721440472584	-0.2419622211399151
91.9999999999999999	-0.0927367987469735	-0.2407215533837844
92.9999999999999999	-0.1027436198567797	-0.2362025318476927
93.9999999999999999	-0.1161954453193997	-0.2347373379610364
94.9999999999999999	-0.1281517852043371	-0.2335303126152160
95.9999999999999999	-0.1416765352752523	-0.2259416593809340
96.9999999999999999	-0.1506046065304949	-0.2205537367088941
97.9999999999999999	-0.1595287896804082	-0.2129428139820416
98.9999999999999999	-0.1737195799093906	-0.2031227254997640
100.0000000000000000	-0.1810514389165577	-0.1968745001982888
101.0000000000000000	-0.1888589015729037	-0.1880193066779858
