x V(mVp)
-10 5
-9 6
-8 7
-7 8
-6 12
-5 12
-4 16
-3 20
-2 24
-1 28
0 27
1 24
2 18
3 13
4 10
5 7
6 3
7 4
8 4
9 0
10 0

