Freq (Hz)	ref(Pa^2 rms)	mic1(Pa^2 rms)	mic2(Pa^2 rms)
1990.0000000000000000	0.0000224827711500	0.0000754819533830	0.0000610989993385
1991.0000000000000000	0.0000342058934512	0.0001578058409539	0.0001699689339118
1992.0000000000000000	0.0000862704891657	0.0004088957579230	0.0004238575361379
1993.0000000000000000	0.0001488727905888	0.0010317524779421	0.0009708169535407
1994.0000000000000000	0.0004476511618276	0.0019178631879364	0.0017163178984866
1995.0000000000000000	0.0013477847267288	0.0018933495022692	0.0020406059309182
1996.0000000000000000	0.0051921465961334	0.0053735487637904	0.0045705068186064
1997.0000000000000000	0.0335947684501286	0.0127735669284680	0.0106529722365262
1998.0000000000000000	0.5329956393903108	0.1761041936609546	0.1356462564977247
1999.0000000000000000	294799.3059365332000000	264.1064791727916370	282.6638490012118150
2000.0000000000000000	1165045.8249637722000000	1034.3047088301602800	1112.2627443276851400
2001.0000000000000000	287761.5675080338840000	252.0750956221547760	272.5751127305660470
2002.0000000000000000	0.5175968898753942	0.0229567212663898	0.0251457565702090
2003.0000000000000000	0.0319416237559976	0.0149553611983891	0.0152014216168053
2004.0000000000000000	0.0053437286885717	0.0043910489046125	0.0044438251403873
2005.0000000000000000	0.0012754691471382	0.0013452845834004	0.0014113248938000
2006.0000000000000000	0.0004079700146904	0.0009445880267160	0.0011117051323229
2007.0000000000000000	0.0001956907720752	0.0010174213247480	0.0011641978259060
2008.0000000000000000	0.0000598671216048	0.0005702109308762	0.0005695260284707
2009.0000000000000000	0.0000441224095425	0.0001925534046454	0.0001500986346855
2010.0000000000000000	0.0000185555056253	0.0000513631432522	0.0000505665648427
