Freq (Hz)	Gxymic/ref_Real	Gxymic/ref_Imag
400.0000000000000000	-0.0002910295116101	-0.0010821036217869
401.0000000000000000	-0.0003994972816291	-0.0017370483723239
402.0000000000000000	-0.0006960100625879	-0.0024605027035028
403.0000000000000000	-0.0006812620257593	-0.0018813012810349
404.0000000000000000	-0.0007365629047284	-0.0015023945799550
405.0000000000000000	-0.0013877695852227	-0.0022073064127852
406.0000000000000000	-0.0010392906963093	-0.0012864190199218
407.0000000000000000	-0.0012495552787310	-0.0012306917511331
408.0000000000000000	-0.0012072121023193	-0.0011512862952094
409.0000000000000000	-0.0012427689456791	-0.0011326165038466
410.0000000000000000	-0.0009387044114238	-0.0007560150954440
411.0000000000000000	-0.0010485795461610	-0.0007773117592583
412.0000000000000000	-0.0006720244453755	-0.0004915782212928
413.0000000000000000	-0.0011408089029384	-0.0009403100912706
414.0000000000000000	-0.0008765122983882	-0.0007424735477232
415.0000000000000000	-0.0004512366053947	-0.0004177807048466
416.0000000000000000	-0.0004250472785071	-0.0004917843517019
417.0000000000000000	-0.0006529986710064	-0.0007278472746123
418.0000000000000000	-0.0009935825191907	-0.0010263640840244
419.0000000000000000	-0.0017155335669234	-0.0016887174217383
420.0000000000000000	-0.0015236587753381	-0.0013950975239475
421.0000000000000000	-0.0022699185007220	-0.0019372649705362
422.0000000000000000	-0.0016956226925227	-0.0013303183823273
423.0000000000000000	-0.0026026474965469	-0.0017668751708077
424.0000000000000000	-0.0021371825164736	-0.0012830778397988
425.0000000000000000	-0.0014960337950828	-0.0008512736995802
426.0000000000000000	-0.0019465765042983	-0.0011464042141187
427.0000000000000000	-0.0021709451669215	-0.0013541805327931
428.0000000000000000	-0.0023916639934896	-0.0015753437455076
429.0000000000000000	-0.0024602526296717	-0.0018274066972839
430.0000000000000000	-0.0021650260310530	-0.0016399909440379
431.0000000000000000	-0.0017373144718804	-0.0011487005436147
432.0000000000000000	-0.0019371243749526	-0.0010871514891310
433.0000000000000000	-0.0012400714144173	-0.0006395355025150
434.0000000000000000	-0.0013306801422610	-0.0007466364079169
435.0000000000000000	-0.0016138946299566	-0.0009401177304273
436.0000000000000000	-0.0016978752765671	-0.0009675083647590
437.0000000000000000	-0.0018026958451350	-0.0010080636493865
438.0000000000000000	-0.0013344813474658	-0.0007458177981605
439.0000000000000000	-0.0013867031389074	-0.0008404224394786
440.0000000000000000	-0.0012466192575098	-0.0008581438500431
441.0000000000000000	-0.0010267954252709	-0.0006229542211883
442.0000000000000000	-0.0017986535339006	-0.0011745595073243
443.0000000000000000	-0.0025611295348784	-0.0017040585515946
444.0000000000000000	-0.0020481302291666	-0.0013607056546224
445.0000000000000000	-0.0023270973154357	-0.0013154634318077
446.0000000000000000	-0.0022669551189146	-0.0012262245008418
447.0000000000000000	-0.0022203898257697	-0.0012042881962466
448.0000000000000000	-0.0041783225321808	-0.0019277047774728
449.0000000000000000	-0.0035167361956343	-0.0016199403316727
450.0000000000000000	-0.0017641254078519	-0.0008786735343105
451.0000000000000000	-0.0024933407949349	-0.0010334572064100
452.0000000000000000	-0.0047257615583858	-0.0015404048454735
453.0000000000000000	-0.0036017879217548	-0.0008506186219188
454.0000000000000000	-0.0029663457284886	-0.0004254735424967
455.0000000000000000	-0.0023607956767803	-0.0002430415592095
456.0000000000000000	-0.0021708726739149	-0.0000961969239415
