Freq (Hz)	mic/ref_Real	mic/ref_Imag
400.0000000000000000	-32.3355138038459415	-120.2296509584240740
401.0000000000000000	-30.8553601010892855	-134.1617465392935740
402.0000000000000000	-41.7561639532158821	-147.6144668265084190
403.0000000000000000	-59.3842578866501824	-163.9892966453729170
404.0000000000000000	-78.0679322355194784	-159.2380467520077330
405.0000000000000000	-98.6696520731049701	-156.9382684902260220
406.0000000000000000	-123.6690665716848370	-153.0757852242317940
407.0000000000000000	-125.6718033517076800	-123.7746375590805030
408.0000000000000000	-121.6233218592391270	-115.9889495519247190
409.0000000000000000	-120.8454436882911270	-110.1343450943904680
410.0000000000000000	-123.2750409747631580	-99.2834280250558265
411.0000000000000000	-121.9182402532885020	-90.3779614659814853
412.0000000000000000	-110.4530590001964040	-80.7951535889873895
413.0000000000000000	-98.2486295449338342	-80.9812910616739145
414.0000000000000000	-92.5111819456890884	-78.3641091968596441
415.0000000000000000	-90.7992766778332338	-84.0671730894723339
416.0000000000000000	-91.8489527937310015	-106.2702433075624530
417.0000000000000000	-96.8328109498382332	-107.9320688880830520
418.0000000000000000	-109.4334429122888680	-113.0440131815066420
419.0000000000000000	-117.1003725161147460	-115.2699329076079660
420.0000000000000000	-125.7181899406919140	-115.1105079039070490
421.0000000000000000	-126.4323396871809420	-107.9038488566857550
422.0000000000000000	-141.6780703136265060	-111.1550005446437690
423.0000000000000000	-151.0711724686062780	-102.5586077306769540
424.0000000000000000	-149.1470571360825090	-89.5418535419573799
425.0000000000000000	-138.3476085440281620	-78.7226070296296143
426.0000000000000000	-127.2721483527618460	-74.9548383479258006
427.0000000000000000	-122.4101174938966210	-76.3563265682200125
428.0000000000000000	-125.1685573985769790	-82.4461565541049168
429.0000000000000000	-124.8297961697008560	-92.7200738614960613
430.0000000000000000	-124.7572292237951930	-94.5026633378469824
431.0000000000000000	-138.7008853074120220	-91.7080844782291677
432.0000000000000000	-143.8013908491756470	-80.7041087408804287
433.0000000000000000	-143.1840594714876430	-73.8435612349532988
434.0000000000000000	-136.7884052680863930	-76.7511292236719810
435.0000000000000000	-132.3632394620126720	-77.1035642384978814
436.0000000000000000	-130.4784263339905120	-74.3511438331110809
437.0000000000000000	-136.9864318168940260	-76.6025188034008550
438.0000000000000000	-135.0159652285439050	-75.4580122790734719
439.0000000000000000	-138.5513199998092370	-83.9701267561621875
440.0000000000000000	-133.4406183338502950	-91.8574338390122306
441.0000000000000000	-156.5227586985139960	-94.9619669541777966
442.0000000000000000	-167.0574818530023150	-109.0921346895371040
443.0000000000000000	-169.4872778191968900	-112.7690892713865340
444.0000000000000000	-178.9632638147398320	-118.8968951166229710
445.0000000000000000	-187.6493958023704630	-106.0746005512910560
446.0000000000000000	-190.0502518351239020	-102.8005685895382160
447.0000000000000000	-183.7885764156049790	-99.6826821189232674
448.0000000000000000	-192.2804809893990810	-88.7102417209949152
449.0000000000000000	-198.4531356927006130	-91.4149428821550884
450.0000000000000000	-204.9492893458183000	-102.0809040119222710
451.0000000000000000	-209.5599686960693190	-86.8598710067906694
452.0000000000000000	-225.3215038202616250	-73.4455879726336746
453.0000000000000000	-235.7390011017167810	-55.6734567958561044
454.0000000000000000	-257.8693609834763260	-36.9871217185772281
455.0000000000000000	-254.1472285204706620	-26.1642035759029916
456.0000000000000000	-236.6024547206917530	-10.4844602885372282
457.0000000000000000	-232.6885024087723930	-4.7687578511786057
458.0000000000000000	-235.1693986022725080	20.2032868713394329
459.0000000000000000	-229.4293759242943340	28.2503970680311092
460.0000000000000000	-220.9406058605607940	32.5173081349948205
461.0000000000000000	-212.2056847335178980	33.1947731742869081
462.0000000000000000	-197.3690685809615390	35.3149331456680571
463.0000000000000000	-197.7248334925929210	30.0461079608730976
464.0000000000000000	-199.3713675146555600	32.6701001748501767
465.0000000000000000	-202.0141933180653660	47.3467337978677207
466.0000000000000000	-184.6322003544009930	35.2029760174022925
467.0000000000000000	-185.3955683022655310	34.1333962533333448
468.0000000000000000	-196.1802742972096210	31.9016927473451694
469.0000000000000000	-175.7339011073271140	33.7087693909310459
470.0000000000000000	-174.4036776240710370	35.9496685219692153
471.0000000000000000	-178.2409109899140560	26.7692560134296151
472.0000000000000000	-184.3547448795810340	28.0945221892511405
473.0000000000000000	-187.5637025931301590	36.6728793702052016
474.0000000000000000	-193.1920252601262290	38.9636347477916089
475.0000000000000000	-196.5351433691384100	38.1957453937480551
476.0000000000000000	-198.0601861630039190	56.0796427934582553
477.0000000000000000	-207.4528563650948450	60.6738037144400834
478.0000000000000000	-197.9009929192338570	53.1833612684921490
479.0000000000000000	-203.8064310847351800	39.7117440782708968
480.0000000000000000	-210.4463173146249340	52.4506247060513715
481.0000000000000000	-222.9587554742182930	57.7418560524676820
482.0000000000000000	-219.5985648306188410	61.1529944549418331
483.0000000000000000	-225.3173425088499750	77.7719678289274440
484.0000000000000000	-224.6131773633479150	106.3715176972475120
485.0000000000000000	-221.3255365325975670	124.6637400023137300
486.0000000000000000	-208.0234806674247920	126.4090901382838300
487.0000000000000000	-181.6698595080243870	141.1781558888665700
488.0000000000000000	-172.1128967133212200	140.0525064485737230
489.0000000000000000	-123.0385059358200830	125.7777120222303470
490.0000000000000000	-131.9638240273608000	111.5789170149683680
491.0000000000000000	-137.6762397838593020	97.7413055691432361
492.0000000000000000	-136.5816755673342010	74.5815461731795608
493.0000000000000000	-151.0631926014727640	67.4271604554661081
494.0000000000000000	-170.3182826791923500	69.4357291676390957
495.0000000000000000	-182.1205314145199170	75.4513233632326176
496.0000000000000000	-186.4758158927012060	99.6543841448700646
497.0000000000000000	-182.3056488960808390	122.9331824754877970
498.0000000000000000	-174.7828614204436230	132.2841724308095480
499.0000000000000000	-167.5795104015332700	135.8795528575300860
500.0000000000000000	-159.2452259484352050	142.4736765189517770
501.0000000000000000	-152.5902966372847510	142.3862221013440030
502.0000000000000000	-141.8297887152870370	147.6757710259179250
503.0000000000000000	-139.5319007455667870	136.1385562372072970
504.0000000000000000	-137.5312540180349290	127.0484965943061150
505.0000000000000000	-139.0138878993609520	125.0508391327732480
506.0000000000000000	-140.5850240896506590	127.0580384835229490
507.0000000000000000	-149.2067148335893870	128.3863054961439900
508.0000000000000000	-157.0528682738982130	129.3768571370774510
509.0000000000000000	-173.9320477251706620	148.8859564188077230
510.0000000000000000	-173.3121153076325530	156.7179439477683610
511.0000000000000000	-163.5016747945392980	180.4529483667968750
512.0000000000000000	-150.7206099692200780	188.7286952604057430
513.0000000000000000	-135.2222782610861310	211.4285874398037490
514.0000000000000000	-110.3757321699542610	214.4970646049629290
515.0000000000000000	-93.3695193701388035	211.0545295411344850
516.0000000000000000	-82.9331643736812082	198.7972047020033980
517.0000000000000000	-69.5414496365655452	186.9099720686322990
518.0000000000000000	-64.6969479232467392	173.4591911637498350
519.0000000000000000	-70.6393577743007767	174.2059598621485460
520.0000000000000000	-61.5965195731442634	170.8040283382828190
521.0000000000000000	-60.6914113389916991	172.6708213058113870
522.0000000000000000	-43.2556200866816809	170.4771463658503310
523.0000000000000000	-45.0337609425008835	150.3243934786996190
524.0000000000000000	-38.1485400113752177	146.5089845003294610
525.0000000000000000	-43.2530409618289439	134.4644297212502410
526.0000000000000000	-38.8892214104867051	138.1413508690103530
