Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 2.00000000e+01
 



no	temps (µs)	SR	ST
  1	0.00000000e+00	-7.66812415e-03	2.70016618e-05
  2	5.00000000e-02	-3.39337113e-02	2.53144369e-05
  3	1.00000000e-01	-6.44937476e-02	1.21024118e-05
  4	1.50000000e-01	-6.49412856e-02	-5.49199070e-06
  5	2.00000000e-01	-1.46275955e-02	-2.11298073e-05
  6	2.50000000e-01	6.79200114e-02	-1.94473354e-05
  7	3.00000000e-01	1.31344429e-01	-8.55147186e-06
  8	3.50000000e-01	1.31146939e-01	5.69904186e-06
  9	4.00000000e-01	6.75031844e-02	1.90191942e-05
 10	4.50000000e-01	-1.87269276e-02	1.68188158e-05
 11	5.00000000e-01	-8.05194392e-02	9.67716429e-06
 12	5.50000000e-01	-9.44517383e-02	2.68046752e-06
 13	6.00000000e-01	-6.69180044e-02	-7.13428345e-06
 14	6.50000000e-01	-2.06374339e-02	-6.81735699e-06
 15	7.00000000e-01	2.03848130e-02	-4.58151680e-06
 16	7.50000000e-01	4.01830524e-02	-2.89099110e-06
 17	8.00000000e-01	3.62714577e-02	5.04322867e-06
 18	8.50000000e-01	1.76258389e-02	4.57530369e-06
 19	9.00000000e-01	-2.84357322e-03	3.44135361e-06
 20	9.50000000e-01	-1.54637288e-02	5.39869581e-06
 21	1.00000000e+00	-1.77213031e-02	-4.32726764e-07
 22	1.05000000e+00	-1.24922527e-02	7.67040859e-07
 23	1.10000000e+00	-4.24114890e-03	1.82419804e-06
 24	1.15000000e+00	2.74598607e-03	-2.21063186e-06
