Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+00
Epaisseur totale h d'une periode (mm) : 1.00000000e+00
Epaisseur totale H de la plaque (mm) : 1.00000000e+00
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 0.00000000e+00
 



no	temps (µs)	SR	ST
  1	0.00000000e+00	-7.87734103e-03	1.60898069e-05
  2	5.00000000e-02	-3.49229506e-02	-1.89572902e-05
  3	1.00000000e-01	-6.63851214e-02	2.59831261e-05
  4	1.50000000e-01	-6.68947982e-02	-1.84772820e-04
  5	2.00000000e-01	-1.51311702e-02	-2.13428666e-03
  6	2.50000000e-01	6.98683184e-02	-6.04154352e-03
  7	3.00000000e-01	1.35154562e-01	-8.65586070e-03
  8	3.50000000e-01	1.35766115e-01	-5.92106386e-03
  9	4.00000000e-01	7.31278200e-02	2.63326442e-03
 10	4.50000000e-01	-1.19844760e-02	1.26219894e-02
 11	5.00000000e-01	-7.51103961e-02	1.71607998e-02
 12	5.50000000e-01	-9.47924072e-02	1.16827631e-02
 13	6.00000000e-01	-7.58829898e-02	-1.56207283e-03
 14	6.50000000e-01	-3.61165309e-02	-1.39997596e-02
 15	7.00000000e-01	5.92310179e-03	-1.71452307e-02
 16	7.50000000e-01	3.55120098e-02	-9.06115911e-03
 17	8.00000000e-01	4.48075979e-02	4.74629251e-03
 18	8.50000000e-01	3.40765860e-02	1.51757862e-02
 19	9.00000000e-01	1.09184361e-02	1.51697610e-02
 20	9.50000000e-01	-1.31012683e-02	4.84038948e-03
 21	1.00000000e+00	-2.80712416e-02	-8.11858860e-03
 22	1.05000000e+00	-2.85537909e-02	-1.44349093e-02
 23	1.10000000e+00	-1.51247929e-02	-1.02334923e-02
 24	1.15000000e+00	4.09698170e-03	9.12645906e-04
 25	1.20000000e+00	1.76271772e-02	1.09702273e-02
