Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
 96	4.75000000e+00	-6.59490531e-03	8.79161054e-04
 97	4.80000000e+00	-1.14619262e-02	7.95418094e-04
 98	4.85000000e+00	-1.06336653e-02	5.54381353e-04
 99	4.90000000e+00	-4.56405789e-03	3.48079163e-04
100	4.95000000e+00	2.87134274e-03	2.08903436e-04
101	5.00000000e+00	7.61244340e-03	-1.69870742e-05
102	5.05000000e+00	7.92010368e-03	-3.79019318e-04
103	5.10000000e+00	4.73526392e-03	-6.46254221e-04
104	5.15000000e+00	4.74824342e-04	-6.03793669e-04
105	5.20000000e+00	-2.60473967e-03	-1.98663888e-04
106	5.25000000e+00	-3.42133266e-03	3.73951205e-04
107	5.30000000e+00	-2.27603219e-03	6.80341309e-04
108	5.35000000e+00	-3.05632377e-04	4.90680761e-04
109	5.40000000e+00	1.34834930e-03	-6.04214273e-05
110	5.45000000e+00	1.95074226e-03	-6.23444748e-04
111	5.50000000e+00	1.39854187e-03	-7.90958095e-04
112	5.55000000e+00	1.84924950e-04	-4.90715385e-04
113	5.60000000e+00	-1.02975711e-03	1.99138546e-05
114	5.65000000e+00	-1.62721217e-03	4.12617415e-04
115	5.70000000e+00	-1.28105376e-03	3.89683931e-04
116	5.75000000e+00	-2.59564518e-04	1.16028053e-04
117	5.80000000e+00	8.35073752e-04	-3.16438850e-04
118	5.85000000e+00	1.39904580e-03	-1.86866231e-03
119	5.90000000e+00	1.09791812e-03	-4.81576464e-03
120	5.95000000e+00	1.77492016e-04	-6.73784506e-03
121	6.00000000e+00	-7.49553820e-04	-4.42508538e-03
