Freq (Hz)	ref(Pa^2 rms)	mic1(Pa^2 rms)	mic2(Pa^2 rms)
687.9999999999999990	0.3961341689888235	0.0032707777202981	0.0033559572387360
688.9999999999999990	0.4010171756263457	0.0036300323954413	0.0037657482345266
689.9999999999999990	0.4064670910515627	0.0029683863119995	0.0030602774428710
690.9999999999999990	0.4121585934686226	0.0033064720878276	0.0033696949810378
691.9999999999999990	0.4185787383866084	0.0034626848276230	0.0034870632452940
692.9999999999999990	0.4245680762992983	0.0037208605861450	0.0037698274978601
693.9999999999999990	0.4304831869138059	0.0047222100152048	0.0047986037820552
694.9999999999999990	0.4360175850642808	0.0054087028525352	0.0055974234939089
695.9999999999999990	0.4411167565474126	0.0047158583181508	0.0048850596887959
696.9999999999999990	0.4453180431447293	0.0040347731447204	0.0041675889636175
697.9999999999999990	0.4490199270637467	0.0038097998340791	0.0039535766241677
698.9999999999999990	0.4511004516478329	0.0035042086823683	0.0035622922496725
699.9999999999999990	0.4519619638639670	0.0043313308651598	0.0044155970637536
700.9999999999999990	0.4528820411772121	0.0045713616257534	0.0046200390893123
701.9999999999999990	0.4518178629245533	0.0048172210575998	0.0049589257178463
702.9999999999999990	0.4497615984036267	0.0054647870468439	0.0055857099977346
703.9999999999999990	0.4479873473739339	0.0056837683025353	0.0057229100288690
704.9999999999999990	0.4445474728913230	0.0065681269344949	0.0067807281637490
705.9999999999999990	0.4405358080435428	0.0062408366255701	0.0064730244145520
706.9999999999999990	0.4369332989197893	0.0065782238516892	0.0068768133005875
707.9999999999999990	0.4332385884630320	0.0051531773663092	0.0053934900289632
708.9999999999999990	0.4295207585767886	0.0049074434327592	0.0052496985696831
709.9999999999999990	0.4262905027694018	0.0036597490245943	0.0037760169368488
710.9999999999999990	0.4241387745195810	0.0041606348491353	0.0043769226606730
711.9999999999999990	0.4224224365644361	0.0032574865682364	0.0034771981182204
712.9999999999999990	0.4216854817495143	0.0030501649461061	0.0031404491164959
713.9999999999999990	0.4224969338189992	0.0032576185746775	0.0033568572172848
714.9999999999999990	0.4236623193584178	0.0031541551139589	0.0031972750099363
715.9999999999999990	0.4270011284907996	0.0036134720265825	0.0037156843925569
716.9999999999999990	0.4304987270466338	0.0037693322356133	0.0037967119773616
717.9999999999999990	0.4356036422331752	0.0045023471516709	0.0046751389200931
718.9999999999999990	0.4417790190239629	0.0041809228561094	0.0043314518385710
719.9999999999999990	0.4445651512011625	0.0042582675863609	0.0044394111878805
720.9999999999999990	0.4531466701195943	0.0042168479939715	0.0043681090839221
721.9999999999999990	0.4595162339631267	0.0044797076755582	0.0047576706884606
722.9999999999999990	0.4652685176227288	0.0051123471883616	0.0053424709191592
723.9999999999999990	0.4707550303710425	0.0057056249595297	0.0060388875829579
724.9999999999999990	0.4755597013595820	0.0057255223989231	0.0060148697853753
725.9999999999999990	0.4793665013886855	0.0055827504560697	0.0060271948207265
726.9999999999999990	0.4823072462008666	0.0044145256617413	0.0047877590671853
727.9999999999999990	0.4835106232757246	0.0043054118964480	0.0046653081644637
728.9999999999999990	0.4835261054337263	0.0036704149696814	0.0038894076054460
729.9999999999999990	0.4833447217924783	0.0036453128572158	0.0038499606395510
730.9999999999999990	0.4811633598684545	0.0034736955111792	0.0036373069534506
731.9999999999999990	0.4787627455296109	0.0034009744736499	0.0035592185855905
732.9999999999999990	0.4748351053916111	0.0032827176238279	0.0034429031786290
733.9999999999999990	0.4713215334186750	0.0029877309746877	0.0032204384868498
734.9999999999999990	0.4676977595150276	0.0029866867854654	0.0031791819656129
735.9999999999999990	0.4638086907046132	0.0026962858461797	0.0028952067283546
736.9999999999999990	0.4607478935166479	0.0032101988952926	0.0034345697393183
737.9999999999999990	0.4580035954845828	0.0021719797407115	0.0023966739778196
738.9999999999999990	0.4564140903522049	0.0021979164251732	0.0023530771731538
739.9999999999999990	0.4562040805432669	0.0018691352049041	0.0019587559635198
740.9999999999999990	0.4571798051303649	0.0018043037619054	0.0019066859133486
741.9999999999999990	0.4586216753295634	0.0017688835849875	0.0018255264238019
742.9999999999999990	0.4625457422265974	0.0018743661183988	0.0019409187341201
743.9999999999999990	0.4666195407715311	0.0020190923706778	0.0020425932728139
744.9999999999999990	0.4719704801320117	0.0026765219687199	0.0027367966001933
745.9999999999999990	0.4778098976391830	0.0024567585140112	0.0024328548700288
746.9999999999999990	0.4842018380071575	0.0031860151074186	0.0031800421963603
747.9999999999999990	0.4906880949108892	0.0033020708717052	0.0033599263038705
748.9999999999999990	0.4969862726569342	0.0030450305533717	0.0030314194128847
749.9999999999999990	0.5040459168785695	0.0034484273585339	0.0033954962689835
750.9999999999999990	0.5066478898200261	0.0036259117655710	0.0036141500245897
751.9999999999999990	0.5105132474362173	0.0040094378300525	0.0039979756868955
752.9999999999999990	0.5130623882949917	0.0043576699424704	0.0044201843582910
753.9999999999999990	0.5142368717808810	0.0040329584500265	0.0040496094469984
754.9999999999999990	0.5145894246669273	0.0041394023718301	0.0041869831016909
755.9999999999999990	0.5123875751284072	0.0034889563508787	0.0035043054037293
756.9999999999999990	0.5099709758588999	0.0039154711067414	0.0038676620638483
757.9999999999999990	0.5072604945362322	0.0035425043734140	0.0035332800050947
758.9999999999999990	0.5033508619511180	0.0042013668439578	0.0041233932032143
759.9999999999999990	0.4992285101039178	0.0042891938649145	0.0041958837356251
760.9999999999999990	0.4956146574812301	0.0043880872359928	0.0043349132424767
761.9999999999999990	0.4928017141697388	0.0040981220173600	0.0040578884176693
762.9999999999999990	0.4898603462702842	0.0044724196934479	0.0043668599045961
763.9999999999999990	0.4887785080569363	0.0046756503657483	0.0047119969707288
764.9999999999999990	0.4891428571673536	0.0046259199560176	0.0046239164771220
765.9999999999999990	0.4906700383645579	0.0047510648270177	0.0048072024225369
766.9999999999999990	0.4929858546111774	0.0048365027431753	0.0049014721943143
767.9999999999999990	0.4973811823926875	0.0052574201982535	0.0053519265830101
768.9999999999999990	0.5018691757512830	0.0054309308921099	0.0055372322997921
769.9999999999999990	0.5085272491848786	0.0054783341205404	0.0055579725923717
770.9999999999999990	0.5142876375961783	0.0057056889949489	0.0058337130849145
771.9999999999999990	0.5209055656315673	0.0052786694557729	0.0054776725116830
772.9999999999999990	0.5271048263220249	0.0056529566651702	0.0058236722524144
773.9999999999999990	0.5331914634351339	0.0051568920581443	0.0054580853098957
