Freq (Hz)	Coh_mic1/ref	Coh_mic2/ref
1990.0000000000000000	0.3003450723725941	0.3003873128637696
1991.0000000000000000	0.3198899131445379	0.3159047008897150
1992.0000000000000000	0.1294328091877017	0.1317364792091747
1993.0000000000000000	0.1799537934826043	0.1825411918620602
1994.0000000000000000	0.2703945206747403	0.2625104676236780
1995.0000000000000000	0.1583033446161700	0.1541097960231552
1996.0000000000000000	0.0655341962122724	0.0592065615726837
1997.0000000000000000	0.4828347003758650	0.4976408979034448
1998.0000000000000000	0.2571711011615931	0.2226448524191334
1999.0000000000000000	0.9977287815870651	0.9982296567629014
2000.0000000000000000	0.9981536253964530	0.9985229560352726
2001.0000000000000000	0.9980012787188451	0.9984035963426716
2002.0000000000000000	0.3675386534028800	0.3617677404743251
2003.0000000000000000	0.4662992812560930	0.4544850530286864
2004.0000000000000000	0.2828864569898557	0.3099967019367306
2005.0000000000000000	0.2345761114529068	0.2823849863665997
2006.0000000000000000	0.1552732080353666	0.1935081449534647
2007.0000000000000000	0.1655822786196188	0.2024266670638316
2008.0000000000000000	0.2266913793775234	0.2611071364519233
2009.0000000000000000	0.2973796283958929	0.3007261931871246
2010.0000000000000000	0.0613867862340356	0.0383097622302691
