Freq (Hz)	Gxymic1/ref_Real	Gxymic1/ref_Imag	Gxymic2/ref_Real	Gxymic2/ref_Imag
1990.0000000000000000	-0.0000092084321576	0.0000962545822750	-0.0000064214818768	0.0000937208324248
1991.0000000000000000	-0.0000759933010861	-0.0001073663728597	-0.0000769643036456	-0.0001038857563650
1992.0000000000000000	0.0001916039107564	-0.0001317132870926	0.0001934034860036	-0.0001360689409215
1993.0000000000000000	-0.0000097948869133	0.0005168731952370	-0.0000344784871679	0.0005298642018487
1994.0000000000000000	-0.0011666964502897	-0.0010768060066160	-0.0010720378517409	-0.0011309742163930
1995.0000000000000000	0.0029053927533780	0.0008107614185732	0.0027637622771052	0.0009328629174097
1996.0000000000000000	-0.0021948542004264	0.0020769311671158	-0.0023496948287671	0.0016581110607371
1997.0000000000000000	-0.0133403417712983	-0.0118054756484687	-0.0121120412289070	-0.0112218389963682
1998.0000000000000000	0.0698767588439863	0.0769334801404262	0.0553780502285763	0.0588234900103491
1999.0000000000000000	-8638.5281827774870100	1377.2195285718239600	-8558.9462886027431400	-372.6943911948289380
2000.0000000000000000	-34407.7343287073526000	5262.2907712370651900	-34025.2932386830725000	-1601.1572468122853900
2001.0000000000000000	-8532.3145505001411800	1346.6626122867205600	-8428.3291991256446500	-350.1259578432950540
2002.0000000000000000	-0.0539121302640687	-0.1113528987257473	-0.0514564849780378	-0.1094257125386548
2003.0000000000000000	0.0126983101746400	0.0153948304237431	0.0114675648557089	0.0155185400665024
2004.0000000000000000	-0.0022374354746623	-0.0039632530415529	-0.0019925047473031	-0.0038689909730533
2005.0000000000000000	0.0004087252479811	0.0015591188425678	0.0002381721367956	0.0015475630885085
2006.0000000000000000	0.0001124318073443	-0.0006690677238929	0.0001806860523818	-0.0007191847655367
2007.0000000000000000	-0.0002336952176775	0.0003579801563117	-0.0002520490121498	0.0003926119787659
2008.0000000000000000	0.0001318497851108	-0.0000262191020739	0.0001408182733982	-0.0000452655329255
2009.0000000000000000	-0.0000708146980017	-0.0000158201382321	-0.0000749445357494	-0.0000072298222145
2010.0000000000000000	-0.0000000478070460	0.0000096765434392	0.0000041036927669	0.0000063406082870
