Freq (Hz)	mic1/ref_Real	mic1/ref_Imag	mic2/ref_Real	mic2/ref_Imag
1990.0000000000000000	7.1810754782432111	-46.5100932690558650	0.0197847810554861	-51.2688087463960897
1991.0000000000000000	-4.7427500953734834	10.1229809149634242	-4.6047077366146452	11.6842191520859959
1992.0000000000000000	27.5563305659113808	9.4147574020362867	33.0993099871192910	13.2696016880670093
1993.0000000000000000	10.0305655919022367	-35.2650709100813344	3.8385179296130185	-41.5342097276332822
1994.0000000000000000	-58.2134138114697350	9.1609537309971678	-61.2263937191682856	17.5358239982604260
1995.0000000000000000	45.1295270232525709	10.6583398469735453	49.2525969487959187	5.5875482254862332
1996.0000000000000000	-9.5814814922558575	-10.3512725445619296	-11.2713284918192684	-9.9740680540574687
1997.0000000000000000	3.2669589832143626	3.6568800296575352	3.5349945228474833	3.6958396173566657
1998.0000000000000000	-0.9465714588656003	-1.0703532032273859	-0.9881083843043466	-0.9552546730864460
1999.0000000000000000	-0.0220697388709444	0.0126179634291537	-0.0217199307032597	0.0145244764337220
2000.0000000000000000	-0.0222088791311492	0.0127437157847201	-0.0218500955009679	0.0146308889705534
2001.0000000000000000	-0.0223854614372191	0.0130446515071106	-0.0220601416840201	0.0149567309155721
2002.0000000000000000	0.9426126604186901	-0.4064869239974054	1.0183028919493640	-0.3571992543710267
2003.0000000000000000	-6.6864665856806340	-0.8423951643394152	-6.9510140754732390	-1.4432224143820580
2004.0000000000000000	-13.2897433251670520	0.2965861802889618	-13.4143097122192572	-1.0484269825767287
2005.0000000000000000	19.2957946388111381	6.8758700772790009	19.9431813104101145	7.9496076796374782
2006.0000000000000000	-1.9395830511552903	-30.6009655877283606	-11.7624563713416705	-29.3012159715935389
2007.0000000000000000	-44.3290985920261278	-34.4595243878297097	-42.9973284921486751	-42.5398480031570756
2008.0000000000000000	53.2046340630963641	55.0829339638716746	52.7109915166109459	64.2828455749496896
2009.0000000000000000	-79.8401183209805651	25.0294588790882422	-92.8104602084767549	12.7678588577278926
2010.0000000000000000	-14.9905301976771987	-59.3743337888018700	-21.4622972944734584	-67.3592276488397914
