Freq (Hz)	mic1/ref_Real	mic1/ref_Imag	mic2/ref_Real	mic2/ref_Imag
1258.0000000000000000	-0.0661817410679255	-0.0210308296590914	-0.0670058141636752	-0.0114672032738850
1259.0000000000000000	-0.0651117853463164	-0.0187209138109006	-0.0656920507177961	-0.0091642645470555
1260.0000000000000000	-0.0633319952637016	-0.0175613625444676	-0.0638909569459798	-0.0080670555254794
1261.0000000000000000	-0.0623300353120007	-0.0154258849298828	-0.0629946291759395	-0.0056563257582564
1262.0000000000000000	-0.0598147152529887	-0.0155402885541759	-0.0602802775937083	-0.0053225877151845
1263.0000000000000000	-0.0578154424213216	-0.0163457714313009	-0.0579099793561638	-0.0058882528375180
1264.0000000000000000	-0.0589573785881647	-0.0170104382016414	-0.0586544386225116	-0.0064118423324345
1265.0000000000000000	-0.0575951059753697	-0.0171882045839098	-0.0572048350053352	-0.0065516769335894
1266.0000000000000000	-0.0576667898623064	-0.0170340554170219	-0.0567384175321461	-0.0061665772348355
1267.0000000000000000	-0.0577653231819751	-0.0184308899778326	-0.0563541233492044	-0.0078656302001563
1268.0000000000000000	-0.0590565926196166	-0.0172930239832496	-0.0576961367374973	-0.0069358499455473
1269.0000000000000000	-0.0594320624773379	-0.0173887076746430	-0.0579908719824733	-0.0067518467684153
1270.0000000000000000	-0.0599576894019984	-0.0166635246535894	-0.0581200270827668	-0.0061690608172835
1271.0000000000000000	-0.0604531541058600	-0.0149721568666411	-0.0583003047396427	-0.0046807082478692
1272.0000000000000000	-0.0586640303857674	-0.0143986278596721	-0.0565765715159663	-0.0044094458629982
1273.0000000000000000	-0.0594939343813493	-0.0143330553050136	-0.0572892006241466	-0.0042449424601716
1274.0000000000000000	-0.0591972396538604	-0.0143409323242879	-0.0566081764616148	-0.0043421070279415
1275.0000000000000000	-0.0599568869677841	-0.0141934739656556	-0.0572950212493478	-0.0046667077627992
1276.0000000000000000	-0.0597620930395413	-0.0145231668987112	-0.0572458732171485	-0.0049543554079745
1277.0000000000000000	-0.0612819565811050	-0.0158374901393287	-0.0586300199869906	-0.0062079128517621
1278.0000000000000000	-0.0634040499145144	-0.0144078129575349	-0.0605598479489394	-0.0050391600791660
1279.0000000000000000	-0.0652311910635630	-0.0137241341328613	-0.0627296630003434	-0.0043289510393648
1280.0000000000000000	-0.0661428343330400	-0.0108180207180268	-0.0634389133820291	-0.0012917266699790
1281.0000000000000000	-0.0655801170964532	-0.0077644754895664	-0.0627865575892108	0.0017670095554703
1282.0000000000000000	-0.0632561228912264	-0.0074552163202800	-0.0603638986642458	0.0020389075961460
1283.0000000000000000	-0.0657944638304068	-0.0056153948565536	-0.0628427866796846	0.0038947760209789
1284.0000000000000000	-0.0632793445401319	-0.0025692329746707	-0.0603317441017994	0.0069613788405161
1285.0000000000000000	-0.0618155246501905	0.0003924148393318	-0.0587034813107222	0.0097649531785920
1286.0000000000000000	-0.0575161128480604	0.0008234327220796	-0.0545467760551169	0.0100410124390929
1287.0000000000000000	-0.0539299356474465	0.0006673287676946	-0.0514208003522282	0.0098745615685507
