Freq (Hz)	Coh_mic1/ref	Coh_mic2/ref
1990.0000000000000000	0.3567268532828192	0.2933681926702246
1991.0000000000000000	0.2491696948703592	0.2526829757545563
1992.0000000000000000	0.2142793804048099	0.2586612011261955
1993.0000000000000000	0.0345886288770079	0.0678782672812701
1994.0000000000000000	0.1263171511162458	0.1350323225829187
1995.0000000000000000	0.1553556614763446	0.1164192409481307
1996.0000000000000000	0.0554604168308170	0.1358901592195512
1997.0000000000000000	0.0888837084249497	0.1389923863328618
1998.0000000000000000	0.0463851460051430	0.1132123467015450
1999.0000000000000000	0.9996299888873460	0.9995534135572942
2000.0000000000000000	0.9994613631462600	0.9994172963197588
2001.0000000000000000	0.9990027823785644	0.9989924391301427
2002.0000000000000000	0.2754176267542175	0.1974192213033989
2003.0000000000000000	0.2048869412741586	0.1943468902123121
2004.0000000000000000	0.3688842110948642	0.3290968350139408
2005.0000000000000000	0.1100287174387878	0.0981831587090365
2006.0000000000000000	0.0192614358484329	0.0174296952994826
2007.0000000000000000	0.0004725763965102	0.0051632515564915
2008.0000000000000000	0.5901061737698469	0.5421178870216768
2009.0000000000000000	0.2625718936628937	0.2609442751539507
2010.0000000000000000	0.1608243587867030	0.1512193414161616
