Freq (Hz)	mic/ref_Real	mic/ref_Imag
400.0000000000000000	59.6781365339119389	119.4896012651699380
401.0000000000000000	83.3512147940157177	120.2777358884174960
402.0000000000000000	86.9540353557754741	116.0486951887835260
403.0000000000000000	97.7248219570883520	121.4763475557102200
404.0000000000000000	110.3075985027701900	114.1598192551391830
405.0000000000000000	119.0634959514803340	108.3640756366117160
406.0000000000000000	124.0774928467231890	98.8211993187039183
407.0000000000000000	115.8087382773707220	83.7333862484216666
408.0000000000000000	107.5131595218376640	76.2392500207826913
409.0000000000000000	101.7650273196522620	80.4562539030697649
410.0000000000000000	94.0263080196096154	87.5269967417816871
411.0000000000000000	99.5991435692023685	85.9845173988745727
412.0000000000000000	97.6027621925370709	88.4606666423168945
413.0000000000000000	104.8001434167598660	87.5521586729411182
414.0000000000000000	101.2413072820421290	86.0135683225301903
415.0000000000000000	92.0271848804362377	103.1607400568186680
416.0000000000000000	100.3174133916726590	113.9324417759169420
417.0000000000000000	113.6234368734001380	123.7980721868671450
418.0000000000000000	122.2770945334596030	120.8217430763113780
419.0000000000000000	129.3359039970755190	113.5342839338066620
420.0000000000000000	133.3346995941352300	110.9722621912485040
421.0000000000000000	138.0126600461697990	111.1050661987118250
422.0000000000000000	150.4314065812365010	111.3936939369634160
423.0000000000000000	164.9686921002875980	106.9602443361708030
424.0000000000000000	178.3812770075685140	88.3231541648784457
425.0000000000000000	178.3343454215906830	77.9800982651736234
426.0000000000000000	178.3116325759011430	67.4292012242676861
427.0000000000000000	163.9513178188931590	58.0351204532575124
428.0000000000000000	163.7580817280751260	65.1616513328626325
429.0000000000000000	165.2358973824538850	67.2378329036703519
430.0000000000000000	171.8682292292081970	61.5252422637842926
431.0000000000000000	187.6953549288489850	54.0996260133340598
432.0000000000000000	195.6886926062873330	48.9766907744903790
433.0000000000000000	189.8754302702380980	32.8561177254563077
434.0000000000000000	187.1813597937513970	27.8542187027109911
435.0000000000000000	182.1526174653173770	26.4108351125635252
436.0000000000000000	181.2577106026183170	9.9141684930941256
437.0000000000000000	179.1732599713174630	5.4227200686895935
438.0000000000000000	174.0722357696477900	3.3009449186229438
439.0000000000000000	176.5536254837700200	5.2907278491299339
440.0000000000000000	167.3440013658672850	3.3337738283978582
441.0000000000000000	166.4568184096695230	-3.3650668440715750
442.0000000000000000	165.1869753599877130	-16.1315470608807097
443.0000000000000000	153.3150786198297050	-10.2560045880225044
444.0000000000000000	151.1526708757198770	-2.7184470431869228
445.0000000000000000	150.3767884610726350	-5.6587210639186649
446.0000000000000000	144.5124360911352420	-3.0875103717318093
447.0000000000000000	146.8146915789907890	-2.6129153683045736
448.0000000000000000	147.2727085639519370	1.5143630242544088
449.0000000000000000	146.2149178333324070	6.9529191446875682
450.0000000000000000	159.3998934913540490	22.2906765195508569
451.0000000000000000	164.5007744269380220	13.2309193187056646
452.0000000000000000	167.3682968013901870	9.1860037210757923
453.0000000000000000	172.1544297278488500	3.7749228779969521
454.0000000000000000	179.2469021543813880	0.4204580326549542
455.0000000000000000	182.1843770829903520	-7.5180559337107065
456.0000000000000000	188.5685534659664030	-14.3747484888094039
457.0000000000000000	198.2708764822238260	-23.0900580599133498
458.0000000000000000	194.6873869898618070	-33.6959257144915298
459.0000000000000000	187.8865716576392230	-34.4374078129338841
460.0000000000000000	191.8661321576347230	-44.4954438609009983
461.0000000000000000	191.5875421502678930	-58.0182920472689645
462.0000000000000000	185.6986982964831150	-80.3439717844582332
463.0000000000000000	172.0952188310583610	-80.7836353944199316
464.0000000000000000	150.7119886938561140	-73.5878328897793636
465.0000000000000000	142.2822629299764120	-65.0250491600180851
466.0000000000000000	142.3842495618501690	-55.3703989143185353
467.0000000000000000	148.3444573528313980	-52.2250702534435404
468.0000000000000000	156.8825287416477460	-48.6363411160222369
469.0000000000000000	157.0673378576559290	-50.0834952250201510
470.0000000000000000	157.4442121285223090	-46.6371015688819454
471.0000000000000000	169.4017004828886570	-52.2702496800200648
472.0000000000000000	173.4007056337983670	-56.7795006417987338
473.0000000000000000	182.5644073849813930	-67.2301152121034846
474.0000000000000000	185.2568681099856740	-81.1300817021384546
475.0000000000000000	180.8197458037956550	-89.4848869463871210
476.0000000000000000	172.5795060073064920	-98.8920017529170820
477.0000000000000000	173.0499876791055840	-99.0843334388752196
478.0000000000000000	164.5697338356373790	-98.0988477905658271
479.0000000000000000	162.1712180118146020	-104.3766420031209920
480.0000000000000000	169.3050447943536770	-107.9577512883193720
481.0000000000000000	169.7772869392559870	-122.2951981181047500
482.0000000000000000	158.7214049889268210	-126.5233275262593370
483.0000000000000000	146.7127183351661300	-132.6258822545813980
484.0000000000000000	140.8810924933598020	-133.2745582280303440
485.0000000000000000	123.6757496556103740	-135.2600549825494910
486.0000000000000000	118.7378296468201310	-134.1178386462720480
487.0000000000000000	110.0968018826777380	-126.2309733535443280
488.0000000000000000	108.3160051511342340	-121.1603655478290450
489.0000000000000000	106.9541671193000380	-121.4576115453389630
490.0000000000000000	105.1093774789889180	-125.8029290493470280
491.0000000000000000	105.2308353034004820	-127.9731508280049180
492.0000000000000000	104.7693488731726890	-124.3986536269117520
493.0000000000000000	95.2538977889534237	-113.8011435651892070
494.0000000000000000	95.7029957808758666	-114.4440351214969950
495.0000000000000000	107.2995382733503220	-107.4766032169181640
496.0000000000000000	114.5559777402294090	-106.6459498061156100
497.0000000000000000	119.4579588427788650	-111.8698754808836210
498.0000000000000000	122.6891555930180710	-123.7812722854637000
499.0000000000000000	127.7313747584200460	-136.1726084619197650
500.0000000000000000	119.5967029954569370	-143.4138922786685270
501.0000000000000000	114.8301536654009140	-151.6912587366072100
502.0000000000000000	111.1940724945980040	-157.3793439376005950
503.0000000000000000	108.1509498145735930	-158.5073967499596680
504.0000000000000000	103.4580850826063170	-165.1145461796567980
505.0000000000000000	87.5467807615971622	-168.0385871689322810
506.0000000000000000	77.1695344386117909	-165.0445340235906140
507.0000000000000000	72.6620055258375146	-159.1208382390495610
508.0000000000000000	73.9048118859661258	-151.1835130583538100
509.0000000000000000	75.5745415166642828	-149.9484673605062140
510.0000000000000000	74.4819075658094078	-157.2318510600624960
511.0000000000000000	76.6655949601482120	-164.3508591915991980
512.0000000000000000	82.0791759292961273	-172.1433960809206670
513.0000000000000000	74.0341281753706539	-176.5619103864201800
514.0000000000000000	61.5446889024974623	-187.9386901841456850
