Freq (Hz)	Gxymic1/ref_Real	Gxymic1/ref_Imag	Gxymic2/ref_Real	Gxymic2/ref_Imag
549.9999999999999990	-0.0062154150389306	-0.0079696181879939	-0.0067881348923437	-0.0071113900158586
550.9999999999999990	-0.0078775120162558	-0.0140973597802064	-0.0082743529112750	-0.0135922320386326
551.9999999999999990	-0.0106229116662531	-0.0135799578758089	-0.0112301910343131	-0.0132043910024504
552.9999999999999990	-0.0122156232175204	-0.0103520431360836	-0.0131204949272207	-0.0098497993301853
553.9999999999999990	-0.0064609189691346	-0.0094486136386985	-0.0069816355620436	-0.0087729449911439
554.9999999999999990	-0.0097931985875723	-0.0139680264908507	-0.0105487981669641	-0.0135890054147653
555.9999999999999990	-0.0104152963999732	-0.0114612907931715	-0.0112279702488673	-0.0109219280947152
556.9999999999999990	-0.0094921783576541	-0.0097929586688379	-0.0102912237720249	-0.0091736582367272
557.9999999999999990	-0.0060023796215808	-0.0119090714781432	-0.0066971943914119	-0.0113615518157552
558.9999999999999990	-0.0078181192008556	-0.0157323420885087	-0.0086097943918238	-0.0152553373026918
559.9999999999999990	-0.0076100830818392	-0.0139711028716915	-0.0084715588235698	-0.0133743065358831
560.9999999999999990	-0.0072191516566820	-0.0200756853664694	-0.0079469125982254	-0.0195958073809075
561.9999999999999990	-0.0101788742685916	-0.0201953376036828	-0.0111256948094054	-0.0198259834562056
562.9999999999999990	-0.0135959364562439	-0.0213110024204838	-0.0148367938565407	-0.0207305144671503
563.9999999999999990	-0.0118199555201541	-0.0220811587829069	-0.0128392956278034	-0.0212753809322595
564.9999999999999990	-0.0178519771504244	-0.0250169511198020	-0.0188983352417692	-0.0243764917474827
565.9999999999999990	-0.0214771571038280	-0.0232010924848481	-0.0227525681940215	-0.0224492263030476
566.9999999999999990	-0.0232639174751206	-0.0204919412914003	-0.0245379083006101	-0.0194921969253356
567.9999999999999990	-0.0240256677247132	-0.0208982333026600	-0.0249867411907748	-0.0199874656703002
568.9999999999999990	-0.0282456041776482	-0.0188168432694384	-0.0296642032056985	-0.0180236994895606
569.9999999999999990	-0.0275919041628665	-0.0155708493348951	-0.0288689539488922	-0.0144164309644056
570.9999999999999990	-0.0271958423759055	-0.0147789254347869	-0.0283951671726151	-0.0137468212090900
571.9999999999999990	-0.0287245949825658	-0.0144086819799545	-0.0301180045632149	-0.0133441978832761
572.9999999999999990	-0.0281941298423416	-0.0107892428795303	-0.0295182466551462	-0.0095229999059357
573.9999999999999990	-0.0252392856509185	-0.0105553501017558	-0.0264953373202378	-0.0091646354048724
574.9999999999999990	-0.0264353986413362	-0.0129719449742430	-0.0276416150529531	-0.0117718330552529
575.9999999999999990	-0.0277244868432655	-0.0109666387656926	-0.0291683431354313	-0.0096242621900744
576.9999999999999990	-0.0264493551383669	-0.0097467303570811	-0.0278267549414999	-0.0081537661225027
577.9999999999999990	-0.0274289690819258	-0.0120097512545682	-0.0287927677065158	-0.0104377213477783
578.9999999999999990	-0.0294002173755827	-0.0098568458957713	-0.0309523664953899	-0.0082008930003058
579.9999999999999990	-0.0285716153045055	-0.0094516778930254	-0.0299653685233555	-0.0072440237725166
580.9999999999999990	-0.0290466903955185	-0.0080930219882156	-0.0301041325683734	-0.0059574676962132
581.9999999999999990	-0.0273188306192742	-0.0096823022949309	-0.0281301309012718	-0.0076324523539105
582.9999999999999990	-0.0276328309365748	-0.0079140854592876	-0.0282932030174437	-0.0058975347958710
583.9999999999999990	-0.0248048914552351	-0.0109118050181507	-0.0254237320236217	-0.0092782909049793
584.9999999999999990	-0.0250682178716342	-0.0134480891258167	-0.0257103306401703	-0.0118137349632850
585.9999999999999990	-0.0289035173984810	-0.0146859808972015	-0.0296240731602475	-0.0132356843004871
586.9999999999999990	-0.0276158900323958	-0.0131183224413701	-0.0283882603948981	-0.0116426921926988
