Freq (Hz)	mic/ref_Real	mic/ref_Imag
400.0000000000000000	76.6097419494248867	128.7628309787446880
401.0000000000000000	103.3062245742154340	146.1850856867011710
402.0000000000000000	115.1719266977821970	128.0462220336369230
403.0000000000000000	97.2898163243116300	144.0427909536929570
404.0000000000000000	129.3534034358758900	144.0054546032214940
405.0000000000000000	144.2289387421162980	121.1234797108493660
406.0000000000000000	144.5857661723658510	105.4869645692308070
407.0000000000000000	148.0140784553939850	81.9712192198072955
408.0000000000000000	131.3664687146686840	61.0010860400582686
409.0000000000000000	105.0763803931775010	66.4879782681804130
410.0000000000000000	86.9104151367737784	87.6260137446566602
411.0000000000000000	98.5301837447839261	105.2075379020571970
412.0000000000000000	102.1349276695764840	105.0813919654999470
413.0000000000000000	118.3689237120827190	92.9408121985003248
414.0000000000000000	113.9506414929955300	94.5063472941091759
415.0000000000000000	104.1970912308390350	100.9304728756210210
416.0000000000000000	109.4474267736011800	103.3997851854372810
417.0000000000000000	106.0734400869632020	102.2974681480587260
418.0000000000000000	110.4299512253295600	108.6972707534822430
419.0000000000000000	119.0239178784531050	115.4576647540725390
420.0000000000000000	129.8938425616562140	117.3713313569542580
421.0000000000000000	142.0784338206236160	114.3834580613869890
422.0000000000000000	155.2907928367755520	103.1170177665709100
423.0000000000000000	157.3284761700783750	99.2827627889303130
424.0000000000000000	162.6884541443904760	87.3348984949175388
425.0000000000000000	173.2379829928155740	75.3709070422049336
426.0000000000000000	159.9635416479565600	68.7134748093893250
427.0000000000000000	151.7463674540028650	60.9305437028578964
428.0000000000000000	150.3945659996472560	59.7417368658893579
429.0000000000000000	158.7645714560607360	64.4032583692343649
430.0000000000000000	163.5997913967546540	65.3884630556855057
431.0000000000000000	166.4579852101606150	60.6081228111685277
432.0000000000000000	169.7971866758372530	54.2627648021237902
433.0000000000000000	168.9127614193490390	50.7249334875156208
434.0000000000000000	179.1456279003993470	50.4145617486365722
435.0000000000000000	178.9041138847971120	46.7379831043349156
436.0000000000000000	180.3712062884441710	33.6042739287492864
437.0000000000000000	173.9563708296327030	26.1763179233180096
438.0000000000000000	165.3747517187377980	26.1543728838719751
439.0000000000000000	169.2003219600809700	25.4724490032369282
440.0000000000000000	168.5771468855301120	36.8366916619568627
441.0000000000000000	169.0203283753526480	51.6701152596581181
442.0000000000000000	185.0029477953090690	12.8171398191817918
443.0000000000000000	186.1117883486022320	1.6357633601622368
444.0000000000000000	185.6352222890602940	12.2622052332104161
445.0000000000000000	178.8586236854652040	20.9602856872742436
446.0000000000000000	172.3981916963873860	-3.3272622535538776
447.0000000000000000	166.4911708339185730	-20.8300808406167732
448.0000000000000000	168.2613343781708290	4.5912422339045476
449.0000000000000000	171.4032454193016400	17.5275113532629199
450.0000000000000000	167.5349858612307800	14.1074625316830069
451.0000000000000000	177.3942524102991170	3.2630260786930334
452.0000000000000000	194.0501008554014960	-20.4086907589686248
453.0000000000000000	201.2719608699539150	-31.7237435255763032
454.0000000000000000	197.2038749150747770	-9.1773307936253268
455.0000000000000000	184.2822603462742280	-5.0937207889320284
456.0000000000000000	190.9887138418125400	-20.6579066864400644
457.0000000000000000	188.0259623043461940	-26.0445634065044551
458.0000000000000000	191.5212007834632570	-31.2888073387644390
459.0000000000000000	194.0891731149122560	-42.5916129369876657
